Symbol                    BaseName   Name       Type     Volume
-----------------------------------------------------------------
BTC/USDC:USDC             BTC        BTC        swap     6,110,664,233.41
ETH/USDC:USDC             ETH        ETH        swap     5,740,764,304.71
SOL/USDC:USDC             SOL        SOL        swap     1,346,747,984.85
XRP/USDC:USDC             XRP        XRP        swap     667,172,101.16
HYPE/USDC:USDC            HYPE       HYPE       swap     579,177,087.27
FARTCOIN/USDC:USDC        FARTCOIN   FARTCOIN   swap     268,789,434.36
PUMP/USDC:USDC            PUMP       PUMP       swap     233,286,206.34
KBONK/USDC:USDC           kBONK      kBONK      swap     205,056,160.71
ENA/USDC:USDC             ENA        ENA        swap     189,675,989.01
DOGE/USDC:USDC            DOGE       DOGE       swap     186,545,364.73
HYPE/USDC                 HYPE       @107       spot     161,748,756.37
KPEPE/USDC:USDC           kPEPE      kPEPE      swap     128,953,807.72
SUI/USDC:USDC             SUI        SUI        swap     125,599,628.32
PENGU/USDC:USDC           PENGU      PENGU      swap     72,510,746.48
CRV/USDC:USDC             CRV        CRV        swap     72,214,455.51
UBTC/USDC                 UBTC       @142       spot     62,007,463.63
WIF/USDC:USDC             WIF        WIF        swap     61,170,612.27
SPX/USDC:USDC             SPX        SPX        swap     53,349,617.41
UPUMP/USDC                UPUMP      @188       spot     49,015,140.40
UETH/USDC                 UETH       @151       spot     48,674,593.54
AAVE/USDC:USDC            AAVE       AAVE       swap     42,110,321.84
USOL/USDC                 USOL       @156       spot     39,591,014.29
SYRUP/USDC:USDC           SYRUP      SYRUP      swap     39,347,681.77
BNB/USDC:USDC             BNB        BNB        swap     35,307,584.37
ADA/USDC:USDC             ADA        ADA        swap     32,015,926.27
POPCAT/USDC:USDC          POPCAT     POPCAT     swap     28,699,667.94
VINE/USDC:USDC            VINE       VINE       swap     27,979,831.38
UFART/USDC                UFART      @162       spot     22,488,897.81
LTC/USDC:USDC             LTC        LTC        swap     22,416,700.39
ONDO/USDC:USDC            ONDO       ONDO       swap     20,210,421.96
LINK/USDC:USDC            LINK       LINK       swap     19,504,493.30
